Invoice_ID,Branch,City,Customer_type,Gender,Product_line,Unit_price,Quantity,Tax,Total_Sales,Date,Time,Payment_Type,cogs,gross_margin_percentage,gross_income,Rating,Time_of_Day,Day_Name,Month_Name
750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69000244140625,7,26.141500473022461,548.97149658203125,2019-01-05,13:08:00.0000000,Ewallet,522.83001708984375,4.7619047164916992,26.141500473022461,9.1000003814697266,Afternoon,Saturday,January
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,15.279999732971191,5,3.8199999332427979,80.220001220703125,2019-03-08,10:29:00.0000000,Cash,76.400001525878906,4.7619047164916992,3.8199999332427979,9.6000003814697266,Morning,Friday,March
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,46.330001831054688,7,16.215499877929688,340.5255126953125,2019-03-03,13:23:00.0000000,Credit card,324.30999755859375,4.7619047164916992,16.215499877929688,7.4000000953674316,Afternoon,Sunday,March
123-19-1176,A,Yangon,Member,Male,Health and beauty,58.220001220703125,8,23.288000106811523,489.04800415039063,2019-01-27,20:33:00.0000000,Ewallet,465.760009765625,4.7619047164916992,23.288000106811523,8.3999996185302734,Evening,Sunday,January
373-73-7910,A,Yangon,Normal,Male,Sports and travel,86.30999755859375,7,30.208499908447266,634.37847900390625,2019-02-08,10:37:00.0000000,Ewallet,604.16998291015625,4.7619047164916992,30.208499908447266,5.3000001907348633,Morning,Friday,February
699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories,85.389999389648438,7,29.886499404907227,627.61651611328125,2019-03-25,18:30:00.0000000,Ewallet,597.72998046875,4.7619047164916992,29.886499404907227,4.0999999046325684,Evening,Monday,March
355-53-5943,A,Yangon,Member,Female,Electronic accessories,68.839996337890625,6,20.652000427246094,433.69198608398438,2019-02-25,14:36:00.0000000,Ewallet,413.04000854492188,4.7619047164916992,20.652000427246094,5.8000001907348633,Afternoon,Monday,February
315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle,73.55999755859375,10,36.779998779296875,772.3800048828125,2019-02-24,11:38:00.0000000,Ewallet,735.5999755859375,4.7619047164916992,36.779998779296875,8,Morning,Sunday,February
665-32-9167,A,Yangon,Member,Female,Health and beauty,36.259998321533203,2,3.625999927520752,76.146003723144531,2019-01-10,17:15:00.0000000,Credit card,72.519996643066406,4.7619047164916992,3.625999927520752,7.1999998092651367,Evening,Thursday,January
692-92-5582,B,Mandalay,Member,Female,Food and beverages,54.840000152587891,3,8.2259998321533203,172.74600219726563,2019-02-20,13:27:00.0000000,Credit card,164.52000427246094,4.7619047164916992,8.2259998321533203,5.9000000953674316,Afternoon,Wednesday,February
